radius,accelX,accelY,accelZ,rotAlpha,rotBeta,rotGamma,class
25.52,-0.01,-0.20,0.63,-2.62,3.11,1.85,pad
25.52,-0.01,-0.05,0.01,0.47,0.53,0.36,pad
25.52,-0.05,-0.16,0.44,-0.20,-0.08,-0.20,pad
25.52,0.28,-0.50,0.10,-3.90,9.20,1.45,pad
38.29,0.25,-0.31,-0.43,-12.72,5.78,0.60,pad
51.05,0.27,-0.29,1.22,-18.72,12.45,4.98,pad
25.52,0.17,-0.79,0.79,-13.63,19.25,0.20,pad
38.29,-0.25,-0.12,0.01,2.68,1.71,-0.77,pad
38.29,0.19,-0.45,1.78,-5.60,15.94,0.37,pad
38.29,0.13,-0.16,2.39,-4.62,16.79,-0.29,pad
38.29,0.14,-1.07,0.49,-19.03,23.85,5.14,pad
38.29,0.61,-0.46,2.71,-8.22,13.87,-0.82,pad
25.52,-0.08,-0.07,2.83,2.01,0.01,-0.90,pad
38.29,-0.21,-0.31,1.64,-19.63,16.03,-0.31,pad
25.52,0.26,-1.07,3.48,-27.61,31.17,0.60,knuckle
25.52,0.20,-0.19,2.84,-2.23,13.74,0.36,knuckle
25.52,0.24,-0.65,2.41,-21.09,21.34,-0.71,knuckle
25.52,0.34,0.09,2.78,-15.17,2.55,0.57,knuckle
25.52,-0.09,-0.88,1.15,-9.68,30.47,2.56,knuckle
25.52,0.16,0.01,2.59,2.99,12.32,-0.79,knuckle
25.52,0.76,-0.65,3.29,-1.51,20.75,0.79,knuckle
25.52,0.14,0.15,1.95,3.97,2.87,-1.06,knuckle
25.52,-0.01,-0.05,-0.06,1.33,1.04,-0.73,knuckle
25.52,0.49,-0.63,2.12,-7.53,19.06,2.37,knuckle
